sample,outer_wall_tickness,inside_wall_side_tickness,inside_wall_middle_tickness,height,width,sigma0,youngs
1,2.7,2.0,1.5,75.9,127.9,267.1,70000
2,2.7,2.0,1.5,75.9,127.9,267.1,70000
3,2.7,2.0,1.5,75.9,127.9,267.1,70000
4,2.7,2.0,1.5,75.9,127.9,267.1,70000
5,2.7,2.0,1.5,75.9,127.9,267.1,70000
6,2.7,2.0,1.5,75.9,127.9,267.1,70000
7,2.7,2.0,1.5,75.9,127.9,267.1,70000
8,2.7,2.0,1.5,75.9,127.9,267.1,70000
9,2.7,2.0,1.5,75.9,127.9,267.1,70000
10,2.7,2.0,1.5,75.9,127.9,267.1,70000
11,2.7,2.0,1.5,75.9,127.9,267.1,70000
12,2.7,2.0,1.5,75.9,127.9,267.1,70000
13,2.7,2.0,1.5,75.9,127.9,267.1,70000
14,2.7,2.0,1.5,75.9,127.9,267.1,70000
15,2.7,2.0,1.5,75.9,127.9,267.1,70000
16,2.7,2.0,1.5,75.9,127.9,267.1,70000
17,2.7,2.0,1.5,75.9,127.9,267.1,70000
18,2.7,2.0,1.5,75.9,127.9,267.1,70000
19,2.7,2.0,1.5,75.9,127.9,267.1,70000
20,2.7,2.0,1.5,75.9,127.9,267.1,70000
21,2.7,2.0,1.5,75.9,127.9,267.1,70000
22,2.7,2.0,1.5,75.9,127.9,267.1,70000
23,2.7,2.0,1.5,75.9,127.9,267.1,70000
24,2.7,2.0,1.5,75.9,127.9,267.1,70000
25,2.7,2.0,1.5,75.9,127.9,267.1,70000
26,2.7,2.0,1.5,75.9,127.9,267.1,70000
27,2.7,2.0,1.5,75.9,127.9,267.1,70000
28,2.7,2.0,1.5,75.9,127.9,267.1,70000
29,2.7,2.0,1.5,75.9,127.9,267.1,70000
30,2.7,2.0,1.5,75.9,127.9,267.1,70000
31,2.7,2.0,1.5,75.9,127.9,267.1,70000
32,2.7,2.0,1.5,75.9,127.9,267.1,70000
33,2.7,2.0,1.5,75.9,127.9,267.1,70000
34,2.7,2.0,1.5,75.9,127.9,267.1,70000
35,2.7,2.0,1.5,75.9,127.9,267.1,70000
36,2.7,2.0,1.5,75.9,127.9,267.1,70000
37,2.7,2.0,1.5,75.9,127.9,267.1,70000
38,2.7,2.0,1.5,75.9,127.9,267.1,70000
39,2.7,2.0,1.5,75.9,127.9,267.1,70000
40,2.7,2.0,1.5,75.9,127.9,267.1,70000
41,2.7,2.0,1.5,75.9,127.9,267.1,70000
42,2.7,2.0,1.5,75.9,127.9,267.1,70000
43,2.7,2.0,1.5,75.9,127.9,267.1,70000
44,2.7,2.0,1.5,75.9,127.9,267.1,70000
45,2.7,2.0,1.5,75.9,127.9,267.1,70000
46,2.7,2.0,1.5,75.9,127.9,267.1,70000
47,2.7,2.0,1.5,75.9,127.9,267.1,70000
48,2.7,2.0,1.5,75.9,127.9,267.1,70000
49,2.7,2.0,1.5,75.9,127.9,267.1,70000
50,2.7,2.0,1.5,75.9,127.9,267.1,70000
