mean_force,max_force,outer_wall_thickness,inside_wall_side_thickness,inside_wall_middle_thickness,height,width,sigma0,youngs
24.350709635940227,28.8082363281,2.6,1.92,1.69,76.82,129.0,243.48,82934.6
28.681169311789088,35.4074101563,3.07,1.63,1.23,75.38,127.75,283.34,74316.0
23.515011304128333,28.3182363281,2.57,1.82,1.17,75.87,126.81,298.99,63776.2
24.6794261426872,28.8183242187,2.46,2.2,1.07,74.8,128.24,310.38,68407.8
29.369044575322146,39.3407578125,2.89,2.06,1.78,76.59,129.11,300.87,78130.4
21.902710799143993,25.2638398437,2.32,1.71,1.41,76.92,129.12,296.42,66343.6
26.888785529582158,34.1368398438,2.76,1.56,1.56,76.55,128.47,315.26,69271.7
27.09237902933694,35.4297109375,2.81,1.79,1.79,75.73,128.44,316.65,59398.1
27.220382039675457,33.8843007812,3.09,1.63,1.33,75.79,128.81,272.3,56496.9
23.37532940069345,26.8482753906,2.49,1.52,1.51,76.47,127.97,272.88,82929.1
23.917320163495834,28.0516269531,2.5,2.35,1.24,74.73,126.77,272.54,65893.9
26.16802977199476,31.7914511719,2.93,2.52,1.4,74.71,127.67,221.31,72421.5
24.90932422989998,30.9511699219,2.64,2.3,1.39,77.28,127.03,267.12,71167.4
26.534936505422916,32.60503125,2.91,1.53,1.53,76.94,127.5,270.1,68264.6
21.710077913602827,24.5239550781,2.35,2.6,0.93,77.24,128.45,266.75,58574.9
24.164233570985385,29.3924511719,2.58,2.16,1.28,76.37,127.94,280.7,60668.7
24.74072927611512,28.6685566406,2.53,1.7,1.7,76.07,126.69,271.37,83558.0
26.089699069977513,31.67640625,2.86,2.05,1.58,77.23,128.06,254.7,56975.3
28.051798322859927,38.9504414063,2.8,2.6,2.02,76.83,128.37,296.73,56528.0
29.75622174668942,39.6759140625,2.99,2.4,2.01,76.82,127.44,274.55,64118.5
28.501606075187514,35.6985898437,2.94,1.5,1.19,74.65,127.66,315.56,79590.2
26.06556044718755,31.8076914063,2.74,2.27,1.77,77.18,128.5,246.19,67021.0
21.841987122730348,25.1944980469,2.56,2.51,1.18,75.28,127.08,222.69,63196.0
27.67262973438444,34.076453125,2.95,2.32,2.05,75.94,127.99,221.8,67487.2
24.487495115445526,30.7305429688,2.64,2.52,1.57,76.78,128.6,242.21,73010.3
28.081016333059505,37.0674257813,2.89,1.92,1.0,75.25,128.4,314.7,80892.0
26.32923256665802,31.5924863281,2.84,2.33,1.83,75.11,127.86,218.29,73284.2
28.921506716330114,41.6661445312,2.77,2.45,1.94,76.08,129.28,302.01,77664.0
23.830914211978964,28.0129921875,2.61,1.5,1.31,75.63,129.21,281.19,74054.4
22.614689417176546,25.677890625,2.59,2.37,0.95,75.14,128.06,233.44,76363.2
27.733086533192527,36.29290625,2.78,1.9,1.4,76.09,128.15,319.46,81252.3
25.85107199379876,32.7708789062,2.82,1.66,1.22,75.62,126.52,314.91,58220.2
24.079229000915447,27.7082890625,2.47,2.3,0.98,74.64,126.59,293.31,69463.4
27.800992112669537,38.2680078125,2.92,2.55,1.57,76.38,128.91,278.73,70773.9
25.784625469441263,31.8261015625,2.86,1.95,1.09,75.17,127.64,269.84,64929.4
24.670947924162466,29.9723789063,2.41,2.06,2.06,75.84,128.61,282.83,57668.7
27.410524614919268,35.5130390625,2.96,2.1,1.21,75.19,127.49,293.66,56528.4
22.95796068780489,27.1523828125,2.67,1.92,1.01,75.12,127.99,259.86,64556.1
30.64718148326647,41.655109375,2.81,2.09,2.09,76.4,127.88,319.93,82365.2
24.113602539366763,29.0559824219,2.5,1.67,1.27,76.95,127.29,317.19,69675.2
