sample,outer_wall_thickness,inside_wall_side_thickness,inside_wall_middle_thickness,height,width,sigma0,youngs
  1,2.76,1.96,1.67,75.29,127.80,278.56,73252.4
  2,2.84,2.29,1.39,75.81,127.68,277.41,65871.1
  3,2.63,2.21,1.53,75.94,128.37,289.44,65737.1
  4,2.52,1.85,1.52,75.57,127.39,285.63,63937.5
  5,2.78,1.97,1.52,75.45,128.33,282.14,71745.5
  6,2.82,1.90,1.21,76.02,127.30,285.85,67627.9
  7,2.87,2.04,1.27,75.68,128.00,251.54,70364.3
  8,2.68,1.90,1.60,76.33,128.32,260.28,69233.8
  9,2.58,2.07,1.23,76.18,127.58,246.57,65911.9
 10,2.74,2.08,1.38,76.56,127.76,284.06,66575.9
 11,2.51,1.71,1.44,76.52,127.61,244.21,69558.0
 12,2.56,1.80,1.60,75.89,127.39,281.72,72820.6
 13,2.67,2.18,1.69,76.28,128.11,286.89,72120.0
 14,2.78,2.29,1.25,75.93,127.96,259.17,74789.9
 15,2.62,2.13,1.42,75.88,127.43,278.53,63674.6
 16,2.73,1.93,1.28,76.53,127.44,272.57,76280.9
 17,2.58,2.20,1.29,75.68,128.57,293.76,76511.2
 18,2.85,2.14,1.68,76.18,127.25,263.53,67504.7
 19,2.82,1.78,1.43,75.67,127.59,262.84,72295.9
 20,2.59,2.12,1.28,76.12,128.05,249.47,76584.6
 21,2.59,1.95,1.42,75.99,127.95,243.97,63126.2
 22,2.56,1.76,1.67,76.37,127.76,290.85,66125.1
 23,2.67,1.93,1.69,76.21,127.41,256.84,65475.3
 24,2.56,2.16,1.79,76.39,128.17,260.20,67492.3
 25,2.74,2.14,1.66,75.91,127.49,261.48,64740.4
 26,2.68,2.12,1.24,75.34,128.04,241.68,66164.4
 27,2.56,2.24,1.23,76.58,127.83,254.55,72363.7
 28,2.77,2.07,1.23,76.34,127.37,278.82,67078.3
 29,2.54,2.18,1.25,76.56,128.43,262.56,66489.4
 30,2.79,1.89,1.24,76.15,127.93,249.69,66142.3
 31,2.54,1.73,1.39,75.60,128.47,265.73,65550.3
 32,2.74,2.14,1.23,76.02,127.26,255.37,75269.4
 33,2.63,2.09,1.45,75.94,128.29,268.41,63448.3
 34,2.80,1.93,1.76,75.73,127.54,292.76,71205.1
 35,2.79,2.19,1.61,75.52,128.20,281.90,66766.3
 36,2.68,2.24,1.40,76.16,127.82,281.52,66659.1
 37,2.73,1.81,1.66,76.41,128.35,277.02,67730.1
 38,2.83,1.98,1.46,76.50,127.71,288.86,64489.7
 39,2.79,2.16,1.52,76.37,127.99,274.00,63457.9
 40,2.51,1.73,1.25,75.67,127.93,271.39,75118.8
 41,2.61,2.01,1.75,75.78,128.54,257.18,70217.1
 42,2.65,1.71,1.45,75.69,127.35,289.76,74339.7
 43,2.88,1.97,1.26,75.26,127.76,255.76,68346.4
 44,2.84,1.85,1.23,75.29,127.86,254.08,67160.7
 45,2.88,2.27,1.25,75.40,128.44,274.45,65544.3
 46,2.67,1.96,1.23,75.36,127.27,289.50,68823.1
 47,2.89,1.74,1.26,76.10,127.28,275.76,65004.4
 48,2.50,1.87,1.50,75.41,127.67,271.98,67090.4
 49,2.82,2.24,1.63,75.48,127.86,292.84,73671.9
 50,2.77,2.05,1.77,76.56,127.38,274.89,69721.4
 51,2.63,1.92,1.29,76.58,128.39,242.95,75357.0
 52,2.64,2.08,1.75,75.99,128.44,263.44,68796.3
 53,2.68,2.12,1.62,75.68,127.61,291.35,75331.0
 54,2.84,2.17,1.54,75.85,127.59,266.08,67733.8
 55,2.79,1.80,1.24,76.55,127.37,269.50,73764.7
 56,2.52,2.20,1.46,75.43,127.45,288.51,65145.8
 57,2.66,1.76,1.76,76.07,128.37,270.88,74090.4
 58,2.62,1.85,1.66,75.67,127.73,286.43,70298.1
 59,2.83,2.21,1.51,75.46,128.09,284.61,66711.0
 60,2.85,1.79,1.21,75.82,127.45,256.33,76480.0
 61,2.64,2.15,1.65,76.25,128.04,269.44,76956.6
 62,2.77,2.04,1.78,76.26,127.88,246.48,74080.3
 63,2.86,2.11,1.41,75.96,127.38,262.85,71271.5
 64,2.89,2.00,1.72,75.39,127.84,284.53,75997.8
 65,2.76,1.80,1.74,76.28,128.53,267.99,73875.7
 66,2.60,1.77,1.65,75.90,128.43,288.52,76265.1
