sample,t_outer,t_inner_side,t_inner_middle,height,width,sigma0,youngs
  1,2.75,2.13,1.24,75.38,128.52,272.68,63685.0
  2,2.56,1.71,1.61,76.57,127.26,244.03,66668.9
  3,2.69,2.16,1.28,75.95,127.40,247.37,65459.0
  4,2.51,1.87,1.56,76.23,127.71,268.53,73627.9
  5,2.76,1.94,1.43,75.30,127.81,279.82,64715.2
  6,2.88,1.77,1.41,76.54,127.70,275.61,63981.6
  7,2.74,2.28,1.60,75.59,127.99,277.66,68611.3
  8,2.83,2.16,1.41,75.23,128.14,279.21,66273.4
  9,2.70,1.94,1.57,76.40,128.50,244.64,64910.5
 10,2.55,2.23,1.76,75.83,127.39,288.90,73973.7
 11,2.85,1.88,1.27,75.59,128.49,285.05,68911.8
 12,2.65,1.95,1.27,75.97,127.53,278.57,76852.9
 13,2.62,2.08,1.37,75.56,127.20,253.33,64728.6
 14,2.52,1.91,1.70,75.80,128.35,284.51,76568.6
 15,2.75,1.81,1.21,76.33,127.47,247.91,76229.9
 16,2.58,2.04,1.48,75.24,127.59,274.67,73069.9
 17,2.73,1.89,1.75,75.75,128.24,268.66,71655.8
 18,2.51,2.13,1.39,76.30,128.13,273.32,70570.6
 19,2.60,1.90,1.61,76.30,128.01,274.27,66976.1
 20,2.80,1.87,1.26,76.53,128.12,245.20,73603.5
 21,2.52,2.15,1.27,75.64,128.51,241.55,66563.3
 22,2.51,1.82,1.77,75.39,128.01,262.95,64616.7
 23,2.78,1.76,1.41,76.08,128.07,260.24,67535.8
 24,2.85,2.15,1.50,76.32,128.25,286.75,75757.2
 25,2.59,2.03,1.58,75.52,127.42,240.52,75637.2
 26,2.89,2.11,1.62,76.14,128.34,284.20,73790.4
 27,2.86,1.74,1.40,75.50,128.53,270.13,73337.1
 28,2.67,2.08,1.25,75.28,127.92,292.39,74773.3
 29,2.58,2.21,1.79,75.75,127.51,252.10,68295.9
 30,2.66,1.88,1.70,76.35,127.35,293.78,64323.3
 31,2.62,1.74,1.39,75.67,127.36,270.36,66578.2
 32,2.77,2.19,1.30,75.81,127.94,240.50,74203.8
 33,2.72,2.26,1.75,75.43,127.94,260.75,72951.5
 34,2.83,1.80,1.74,76.04,127.82,277.54,71487.9
 35,2.54,1.99,1.70,75.85,128.40,255.02,68495.8
 36,2.55,1.81,1.60,76.56,128.21,280.39,69165.2
 37,2.70,1.94,1.41,75.25,127.86,265.29,72652.1
 38,2.70,2.00,1.62,75.48,127.97,256.96,75848.2
 39,2.70,1.89,1.33,75.52,128.17,287.00,71210.1
 40,2.55,2.11,1.36,75.72,127.92,249.69,68182.6
 41,2.85,1.97,1.80,75.72,127.43,276.75,68205.8
 42,2.72,2.15,1.55,75.78,127.43,287.68,74458.2
 43,2.61,1.88,1.37,76.47,127.54,268.52,68414.2
 44,2.72,1.99,1.24,76.18,128.59,263.75,64355.6
 45,2.85,1.96,1.62,75.61,127.33,281.77,75696.7
 46,2.59,1.72,1.36,76.29,128.50,292.73,71737.0
 47,2.53,1.81,1.25,76.46,128.11,289.89,69990.6
 48,2.74,2.13,1.29,76.03,127.57,289.35,68782.6
 49,2.65,2.02,1.47,75.46,128.02,262.13,68520.6
 50,2.55,2.26,1.26,75.50,127.94,257.32,64838.9
 51,2.77,1.90,1.43,76.14,128.31,242.16,74396.5
 52,2.87,2.14,1.54,75.37,128.53,281.00,74602.7
 53,2.57,2.03,1.52,75.30,127.98,263.07,63104.6
 54,2.88,1.70,1.51,76.43,127.62,242.73,73969.9
 55,2.77,1.86,1.51,76.23,128.40,249.71,75155.7
 56,2.55,2.02,1.23,76.59,127.92,274.03,63350.3
 57,2.60,1.96,1.25,76.33,127.65,242.93,65847.8
 58,2.86,1.83,1.43,76.10,127.81,262.71,69483.4
 59,2.73,2.22,1.77,75.52,128.05,256.62,64458.4
 60,2.50,1.96,1.74,75.39,127.41,272.59,71746.9
 61,2.54,2.14,1.52,76.27,127.81,249.26,68075.7
 62,2.82,1.87,1.51,76.56,128.17,281.55,67288.7
 63,2.87,2.13,1.27,76.11,128.19,244.20,65135.7
 64,2.56,1.93,1.62,75.85,127.78,281.47,64519.4
 65,2.62,2.22,1.53,75.92,128.26,274.68,70709.7
 66,2.69,2.06,1.75,75.61,128.16,240.99,76770.3
 67,2.65,1.97,1.31,76.54,127.94,264.55,74844.0
 68,2.89,1.99,1.76,75.31,127.46,275.05,70718.4
 69,2.84,2.11,1.75,75.48,127.58,275.43,74007.9
 70,2.67,1.89,1.40,76.38,128.48,288.57,70930.5
 71,2.54,1.72,1.55,75.74,127.46,274.91,74534.0
 72,2.63,2.24,1.36,75.63,128.12,277.11,69552.0
 73,2.88,1.86,1.32,75.27,127.83,281.46,72044.1
 74,2.57,2.01,1.60,76.06,127.51,248.97,76552.7
 75,2.63,2.02,1.76,76.37,127.60,258.78,64280.4
 76,2.76,2.14,1.50,75.94,128.04,259.50,75658.1
 77,2.80,2.03,1.73,75.44,128.34,286.60,66316.3
 78,2.82,1.84,1.68,75.93,128.46,288.35,70976.9
 79,2.65,1.96,1.43,75.57,127.41,289.28,73916.3
 80,2.72,1.96,1.58,76.06,128.22,277.29,75234.0
 81,2.77,2.11,1.77,75.33,128.22,280.42,75298.4
 82,2.71,1.95,1.38,75.53,127.81,271.74,66659.8
 83,2.89,2.10,1.45,75.61,127.68,282.83,64568.4
 84,2.74,2.29,1.34,75.38,128.02,274.64,65788.6
 85,2.61,1.95,1.49,75.31,128.37,245.42,65796.6
 86,2.81,1.88,1.37,75.77,128.34,286.10,69999.4
 87,2.51,1.94,1.73,75.56,127.61,291.06,73984.4
 88,2.64,2.19,1.33,76.47,127.43,261.57,64055.8
