outer_wall_thickness,inside_wall_side_thickness,inside_wall_middle_thickness,height,width,sigma0,youngs,predicted_max_force
2.76,1.96,1.67,75.29,127.8,278.56,73252.4,33.36891051055018
2.84,2.29,1.39,75.81,127.68,277.41,65871.1,34.090792123100485
2.63,2.21,1.53,75.94,128.37,289.44,65737.1,32.43428894868221
2.52,1.85,1.52,75.57,127.39,285.63,63937.5,28.312934454457448
2.78,1.97,1.52,75.45,128.33,282.14,71745.5,33.31699170890131
2.82,1.9,1.21,76.02,127.3,285.85,67627.9,32.01862548812535
2.87,2.04,1.27,75.68,128.0,251.54,70364.3,31.138310695314388
2.68,1.9,1.6,76.33,128.32,260.28,69233.8,29.856754676066615
2.58,2.07,1.23,76.18,127.58,246.57,65911.9,26.291155156067205
2.74,2.08,1.38,76.56,127.76,284.06,66575.9,32.30326248584875
2.51,1.71,1.44,76.52,127.61,244.21,69558.0,24.567963072144792
2.56,1.8,1.6,75.89,127.39,281.72,72820.6,29.55723177901173
2.67,2.18,1.69,76.28,128.11,286.89,72120.0,33.925408902941584
2.78,2.29,1.25,75.93,127.96,259.17,74789.9,31.8963452121737
2.62,2.13,1.42,75.88,127.43,278.53,63674.6,30.142710791349103
2.73,1.93,1.28,76.53,127.44,272.57,76280.9,30.820201647836214
2.58,2.2,1.29,75.68,128.57,293.76,76511.2,31.952187872289144
2.85,2.14,1.68,76.18,127.25,263.53,67504.7,33.84394321366251
2.82,1.78,1.43,75.67,127.59,262.84,72295.9,30.989951716151452
2.59,2.12,1.28,76.12,128.05,249.47,76584.6,27.954738087520198
2.59,1.95,1.42,75.99,127.95,243.97,63126.2,26.24467817729051
2.56,1.76,1.67,76.37,127.76,290.85,66125.1,29.782285383886077
2.67,1.93,1.69,76.21,127.41,256.84,65475.3,29.61417009785778
2.56,2.16,1.79,76.39,128.17,260.2,67492.3,30.008453862517356
2.74,2.14,1.66,75.91,127.49,261.48,64740.4,31.74087634562143
2.68,2.12,1.24,75.34,128.04,241.68,66164.4,27.62371242391528
2.56,2.24,1.23,76.58,127.83,254.55,72363.7,27.88068414900495
2.77,2.07,1.23,76.34,127.37,278.82,67078.3,31.57819400817398
2.54,2.18,1.25,76.56,128.43,262.56,66489.4,27.638946814444083
2.79,1.89,1.24,76.15,127.93,249.69,66142.3,28.809551027254273
2.54,1.73,1.39,75.6,128.47,265.73,65550.3,26.292583549791928
2.74,2.14,1.23,76.02,127.26,255.37,75269.4,30.208522689153213
2.63,2.09,1.45,75.94,128.29,268.41,63448.3,29.585344967768563
2.8,1.93,1.76,75.73,127.54,292.76,71205.1,35.27592761862623
2.79,2.19,1.61,75.52,128.2,281.9,66766.3,34.44874808808693
2.68,2.24,1.4,76.16,127.82,281.52,66659.1,32.057706280275696
2.73,1.81,1.66,76.41,128.35,277.02,67730.1,31.710940994813498
2.83,1.98,1.46,76.5,127.71,288.86,64489.7,33.78015301676972
2.79,2.16,1.52,76.37,127.99,274.0,63457.9,33.01503090275976
2.51,1.73,1.25,75.67,127.93,271.39,75118.8,26.49934935488257
2.61,2.01,1.75,75.78,128.54,257.18,70217.1,29.84997408550244
2.65,1.71,1.45,75.69,127.35,289.76,74339.7,30.536355611771867
2.88,1.97,1.26,75.26,127.76,255.76,68346.4,31.011581783297814
2.84,1.85,1.23,75.29,127.86,254.08,67160.7,29.618230467386027
2.88,2.27,1.25,75.4,128.44,274.45,65544.3,33.816214645335506
2.67,1.96,1.23,75.36,127.27,289.5,68823.1,30.492093083101693
2.89,1.74,1.26,76.1,127.28,275.76,65004.4,31.578910838134178
2.5,1.87,1.5,75.41,127.67,271.98,67090.4,27.362293137581517
2.82,2.24,1.63,75.48,127.86,292.84,73671.9,36.66572368445732
2.77,2.05,1.77,76.56,127.38,274.89,69721.4,33.89691195022688
2.63,1.92,1.29,76.58,128.39,242.95,75357.0,26.951608972349803
2.64,2.08,1.75,75.99,128.44,263.44,68796.3,31.033999694080606
2.68,2.12,1.62,75.68,127.61,291.35,75331.0,34.00143614094357
2.84,2.17,1.54,75.85,127.59,266.08,67733.8,33.42790980857292
2.79,1.8,1.24,76.55,127.37,269.5,73764.7,30.509323042386384
2.52,2.2,1.46,75.43,127.45,288.51,65145.8,30.086609516176807
2.66,1.76,1.76,76.07,128.37,270.88,74090.4,30.852210639546982
2.62,1.85,1.66,75.67,127.73,286.43,70298.1,31.143516980876782
2.83,2.21,1.51,75.46,128.09,284.61,66711.0,34.853204169180415
2.85,1.79,1.21,75.82,127.45,256.33,76480.0,30.327545463968775
2.64,2.15,1.65,76.25,128.04,269.44,76956.6,32.061940481430454
2.77,2.04,1.78,76.26,127.88,246.48,74080.3,31.805592331962387
2.86,2.11,1.41,75.96,127.38,262.85,71271.5,32.86115935674725
2.89,2.0,1.72,75.39,127.84,284.53,75997.8,36.42815418042342
2.76,1.8,1.74,76.28,128.53,267.99,73875.7,32.19856447194111
2.6,1.77,1.65,75.9,128.43,288.52,76265.1,31.14413101021951
2.53,2.12,1.58,76.58,127.72,262.34,63330.3,28.217550866515424
2.73,1.87,1.3,75.86,128.04,244.44,72863.8,28.174241654132473
2.67,2.12,1.78,75.65,127.58,273.86,69416.9,32.608539775921216
2.62,2.21,1.57,75.29,127.31,290.9,71940.5,32.86462921867026
2.66,2.17,1.59,76.03,127.6,259.79,64273.1,30.262245851562355
2.78,2.29,1.54,75.59,127.93,252.21,71829.7,32.27458946858356
2.84,2.27,1.7,75.31,127.85,292.32,68993.4,36.91110810176254
2.53,2.29,1.27,75.61,127.73,286.68,69445.4,30.201975343058123
2.88,1.78,1.78,76.26,128.38,259.91,65429.3,32.756815463237174
2.79,1.84,1.57,76.5,128.26,262.63,64403.6,30.921082228343792
2.71,2.27,1.52,75.8,127.71,259.25,71578.8,31.69921285964331
2.67,2.12,1.49,76.55,128.47,284.38,69369.0,32.29553299394679
2.87,1.89,1.45,75.51,128.19,293.62,68353.7,34.58989046510483
2.71,2.07,1.67,76.0,128.15,272.24,71569.0,32.61343552672754
2.75,2.21,1.26,75.79,128.52,255.72,69239.9,30.546824178179534
2.67,1.8,1.28,75.47,127.66,246.78,70630.4,26.94008449360429
