outer_wall_thickness,inside_wall_side_thickness,inside_wall_middle_thickness,height,width,sigma0,youngs,predicted_mean_force
2.76,1.96,1.67,75.29,127.8,278.56,73252.4,31.104165878725436
2.84,2.29,1.39,75.81,127.68,277.41,65871.1,31.756540536733947
2.63,2.21,1.53,75.94,128.37,289.44,65737.1,29.966041240427895
2.52,1.85,1.52,75.57,127.39,285.63,63937.5,26.81450940790864
2.78,1.97,1.52,75.45,128.33,282.14,71745.5,31.12046950346007
2.82,1.9,1.21,76.02,127.3,285.85,67627.9,30.52690640095386
2.87,2.04,1.27,75.68,128.0,251.54,70364.3,29.181618333537468
2.68,1.9,1.6,76.33,128.32,260.28,69233.8,28.03048611287681
2.58,2.07,1.23,76.18,127.58,246.57,65911.9,24.55843144732034
2.74,2.08,1.38,76.56,127.76,284.06,66575.9,30.328384468030432
2.51,1.71,1.44,76.52,127.61,244.21,69558.0,23.487959654983566
2.56,1.8,1.6,75.89,127.39,281.72,72820.6,27.863641532445055
2.67,2.18,1.69,76.28,128.11,286.89,72120.0,31.32548050453408
2.78,2.29,1.25,75.93,127.96,259.17,74789.9,29.436977592596687
2.62,2.13,1.42,75.88,127.43,278.53,63674.6,28.16502003719165
2.73,1.93,1.28,76.53,127.44,272.57,76280.9,29.018621386507103
2.58,2.2,1.29,75.68,128.57,293.76,76511.2,29.270151900964944
2.85,2.14,1.68,76.18,127.25,263.53,67504.7,31.50491806857303
2.82,1.78,1.43,75.67,127.59,262.84,72295.9,29.30440634519152
2.59,2.12,1.28,76.12,128.05,249.47,76584.6,25.796774285275202
2.59,1.95,1.42,75.99,127.95,243.97,63126.2,24.61301284802664
2.56,1.76,1.67,76.37,127.76,290.85,66125.1,28.429544568209845
2.67,1.93,1.69,76.21,127.41,256.84,65475.3,27.78402176290785
2.56,2.16,1.79,76.39,128.17,260.2,67492.3,27.651944427430177
2.74,2.14,1.66,75.91,127.49,261.48,64740.4,29.50862774228187
2.68,2.12,1.24,75.34,128.04,241.68,66164.4,25.65829159700797
2.56,2.24,1.23,76.58,127.83,254.55,72363.7,25.661266218520264
2.77,2.07,1.23,76.34,127.37,278.82,67078.3,29.77675844786324
2.54,2.18,1.25,76.56,128.43,262.56,66489.4,25.56868103884312
2.79,1.89,1.24,76.15,127.93,249.69,66142.3,27.287648345863428
2.54,1.73,1.39,75.6,128.47,265.73,65550.3,24.946094316508262
2.74,2.14,1.23,76.02,127.26,255.37,75269.4,28.069577172892874
2.63,2.09,1.45,75.94,128.29,268.41,63448.3,27.52867490810217
2.8,1.93,1.76,75.73,127.54,292.76,71205.1,33.14490566689517
2.79,2.19,1.61,75.52,128.2,281.9,66766.3,31.972683425681677
2.68,2.24,1.4,76.16,127.82,281.52,66659.1,29.73000903296315
2.73,1.81,1.66,76.41,128.35,277.02,67730.1,30.039181223716692
2.83,1.98,1.46,76.5,127.71,288.86,64489.7,31.983900946289392
2.79,2.16,1.52,76.37,127.99,274.0,63457.9,30.804371248677395
2.51,1.73,1.25,75.67,127.93,271.39,75118.8,25.089160698482257
2.61,2.01,1.75,75.78,128.54,257.18,70217.1,27.642146552565915
2.65,1.71,1.45,75.69,127.35,289.76,74339.7,28.998063018081208
2.88,1.97,1.26,75.26,127.76,255.76,68346.4,29.208611624216925
2.84,1.85,1.23,75.29,127.86,254.08,67160.7,28.048658053986284
2.88,2.27,1.25,75.4,128.44,274.45,65544.3,31.507469597645578
2.67,1.96,1.23,75.36,127.27,289.5,68823.1,28.786981790316187
2.89,1.74,1.26,76.1,127.28,275.76,65004.4,30.37033414637494
2.5,1.87,1.5,75.41,127.67,271.98,67090.4,25.672867118255223
2.82,2.24,1.63,75.48,127.86,292.84,73671.9,33.943562882542665
2.77,2.05,1.77,76.56,127.38,274.89,69721.4,31.6364412813441
2.63,1.92,1.29,76.58,128.39,242.95,75357.0,25.333297535631683
