outer_wall_thickness,inside_wall_side_thickness,inside_wall_middle_thickness,height,width,sigma0,youngs,predicted_max_force
2.76,1.96,1.67,75.29,127.8,278.56,73252.4,217.0962155356657
2.84,2.29,1.39,75.81,127.68,277.41,65871.1,225.26564548203703
2.63,2.21,1.53,75.94,128.37,289.44,65737.1,213.32244068056957
2.52,1.85,1.52,75.57,127.39,285.63,63937.5,198.34080682694923
2.78,1.97,1.52,75.45,128.33,282.14,71745.5,220.28093136981397
2.82,1.9,1.21,76.02,127.3,285.85,67627.9,227.00315139138513
2.87,2.04,1.27,75.68,128.0,251.54,70364.3,211.4644414688571
2.68,1.9,1.6,76.33,128.32,260.28,69233.8,199.32251918202542
2.58,2.07,1.23,76.18,127.58,246.57,65911.9,185.47285508842185
2.74,2.08,1.38,76.56,127.76,284.06,66575.9,220.86034498299432
2.51,1.71,1.44,76.52,127.61,244.21,69558.0,176.6916336143886
2.56,1.8,1.6,75.89,127.39,281.72,72820.6,202.92845084585656
2.67,2.18,1.69,76.28,128.11,286.89,72120.0,217.99279530070953
2.78,2.29,1.25,75.93,127.96,259.17,74789.9,213.57431969401557
2.62,2.13,1.42,75.88,127.43,278.53,63674.6,205.90291616726734
2.73,1.93,1.28,76.53,127.44,272.57,76280.9,216.49385793113674
2.58,2.2,1.29,75.68,128.57,293.76,76511.2,216.06564888343712
2.85,2.14,1.68,76.18,127.25,263.53,67504.7,218.00498629228787
2.82,1.78,1.43,75.67,127.59,262.84,72295.9,212.36100610347762
2.59,2.12,1.28,76.12,128.05,249.47,76584.6,191.63036868402605
2.59,1.95,1.42,75.99,127.95,243.97,63126.2,180.92114904464177
2.56,1.76,1.67,76.37,127.76,290.85,66125.1,205.51914965477454
2.67,1.93,1.69,76.21,127.41,256.84,65475.3,196.1490716309229
2.56,2.16,1.79,76.39,128.17,260.2,67492.3,191.41348112172068
2.74,2.14,1.66,75.91,127.49,261.48,64740.4,205.61678403304336
2.68,2.12,1.24,75.34,128.04,241.68,66164.4,188.675145339113
2.56,2.24,1.23,76.58,127.83,254.55,72363.7,193.21389874337626
2.77,2.07,1.23,76.34,127.37,278.82,67078.3,220.87028151618904
2.54,2.18,1.25,76.56,128.43,262.56,66489.4,192.60817953675314
2.79,1.89,1.24,76.15,127.93,249.69,66142.3,201.93276964819825
2.54,1.73,1.39,75.6,128.47,265.73,65550.3,187.03039379761105
2.74,2.14,1.23,76.02,127.26,255.37,75269.4,208.20529495796927
2.63,2.09,1.45,75.94,128.29,268.41,63448.3,199.2121510214232
2.8,1.93,1.76,75.73,127.54,292.76,71205.1,228.48019056166675
2.79,2.19,1.61,75.52,128.2,281.9,66766.3,221.1740523158618
