outer_wall_thickness,inside_wall_side_thickness,inside_wall_middle_thickness,height,width,sigma0,youngs,predicted_mean_force
2.76,1.96,1.67,75.29,127.8,278.56,73252.4,132.95451179081635
2.84,2.29,1.39,75.81,127.68,277.41,65871.1,137.86612908077848
2.63,2.21,1.53,75.94,128.37,289.44,65737.1,131.63829014347118
2.52,1.85,1.52,75.57,127.39,285.63,63937.5,116.56492521363045
2.78,1.97,1.52,75.45,128.33,282.14,71745.5,132.7399566841409
2.82,1.9,1.21,76.02,127.3,285.85,67627.9,128.66446987167626
2.87,2.04,1.27,75.68,128.0,251.54,70364.3,125.85746139566699
2.68,1.9,1.6,76.33,128.32,260.28,69233.8,120.17529402759875
2.58,2.07,1.23,76.18,127.58,246.57,65911.9,110.20107930449991
2.74,2.08,1.38,76.56,127.76,284.06,66575.9,130.3740037635829
2.51,1.71,1.44,76.52,127.61,244.21,69558.0,101.84136276180017
2.56,1.8,1.6,75.89,127.39,281.72,72820.6,120.15759287209427
2.67,2.18,1.69,76.28,128.11,286.89,72120.0,136.27868473347667
2.78,2.29,1.25,75.93,127.96,259.17,74789.9,131.50338425480254
2.62,2.13,1.42,75.88,127.43,278.53,63674.6,124.17621858485599
2.73,1.93,1.28,76.53,127.44,272.57,76280.9,125.49467974614937
2.58,2.2,1.29,75.68,128.57,293.76,76511.2,131.68348994386997
2.85,2.14,1.68,76.18,127.25,263.53,67504.7,134.80807838570502
2.82,1.78,1.43,75.67,127.59,262.84,72295.9,123.39497385847905
2.59,2.12,1.28,76.12,128.05,249.47,76584.6,117.14135543918816
2.59,1.95,1.42,75.99,127.95,243.97,63126.2,108.23855627820286
2.56,1.76,1.67,76.37,127.76,290.85,66125.1,120.15155895495776
2.67,1.93,1.69,76.21,127.41,256.84,65475.3,119.18929700410332
2.56,2.16,1.79,76.39,128.17,260.2,67492.3,122.52701819072969
2.74,2.14,1.66,75.91,127.49,261.48,64740.4,127.97778332697466
2.68,2.12,1.24,75.34,128.04,241.68,66164.4,114.52273526673822
2.56,2.24,1.23,76.58,127.83,254.55,72363.7,117.82128360357002
2.77,2.07,1.23,76.34,127.37,278.82,67078.3,128.4856086347063
2.54,2.18,1.25,76.56,128.43,262.56,66489.4,115.9357114964396
2.79,1.89,1.24,76.15,127.93,249.69,66142.3,116.2040150214897
2.54,1.73,1.39,75.6,128.47,265.73,65550.3,107.75639616195532
2.74,2.14,1.23,76.02,127.26,255.37,75269.4,125.0015835558303
2.63,2.09,1.45,75.94,128.29,268.41,63448.3,120.87958193748388
2.8,1.93,1.76,75.73,127.54,292.76,71205.1,138.4500246189973
2.79,2.19,1.61,75.52,128.2,281.9,66766.3,137.53830672442587
2.68,2.24,1.4,76.16,127.82,281.52,66659.1,131.08414416210996
2.73,1.81,1.66,76.41,128.35,277.02,67730.1,125.22286053501547
2.83,1.98,1.46,76.5,127.71,288.86,64489.7,133.55728696379356
2.79,2.16,1.52,76.37,127.99,274.0,63457.9,132.07530699643223
2.51,1.73,1.25,75.67,127.93,271.39,75118.8,110.00635448800837
2.61,2.01,1.75,75.78,128.54,257.18,70217.1,121.06557578350659
2.65,1.71,1.45,75.69,127.35,289.76,74339.7,123.09768002778391
2.88,1.97,1.26,75.26,127.76,255.76,68346.4,124.93377060013485
2.84,1.85,1.23,75.29,127.86,254.08,67160.7,118.93605885479816
2.88,2.27,1.25,75.4,128.44,274.45,65544.3,136.32456987944886
2.67,1.96,1.23,75.36,127.27,289.5,68823.1,125.26366800563575
2.89,1.74,1.26,76.1,127.28,275.76,65004.4,124.54295143390188
2.5,1.87,1.5,75.41,127.67,271.98,67090.4,113.06977515072118
2.82,2.24,1.63,75.48,127.86,292.84,73671.9,146.15210636819018
2.77,2.05,1.77,76.56,127.38,274.89,69721.4,134.26594137792358
2.63,1.92,1.29,76.58,128.39,242.95,75357.0,111.93027826461322
2.64,2.08,1.75,75.99,128.44,263.44,68796.3,125.2965653973762
2.68,2.12,1.62,75.68,127.61,291.35,75331.0,137.0728933334825
2.84,2.17,1.54,75.85,127.59,266.08,67733.8,134.23386929605545
2.79,1.8,1.24,76.55,127.37,269.5,73764.7,122.77745491958093
2.52,2.2,1.46,75.43,127.45,288.51,65145.8,125.31062602347824
2.66,1.76,1.76,76.07,128.37,270.88,74090.4,122.88509467139103
2.62,1.85,1.66,75.67,127.73,286.43,70298.1,125.16941630774035
2.83,2.21,1.51,75.46,128.09,284.61,66711.0,139.35454128311812
2.85,1.79,1.21,75.82,127.45,256.33,76480.0,122.00134519030065
2.64,2.15,1.65,76.25,128.04,269.44,76956.6,130.46936277769748
2.77,2.04,1.78,76.26,127.88,246.48,74080.3,127.44448397420139
2.86,2.11,1.41,75.96,127.38,262.85,71271.5,132.55324319642602
2.89,2.0,1.72,75.39,127.84,284.53,75997.8,143.07196347676586
2.76,1.8,1.74,76.28,128.53,267.99,73875.7,127.05972501283158
2.6,1.77,1.65,75.9,128.43,288.52,76265.1,125.09536626296791
2.53,2.12,1.58,76.58,127.72,262.34,63330.3,116.85085507384032
2.73,1.87,1.3,75.86,128.04,244.44,72863.8,114.80964318800433
2.67,2.12,1.78,75.65,127.58,273.86,69416.9,131.20048223365234
2.62,2.21,1.57,75.29,127.31,290.9,71940.5,134.4916208744786
2.66,2.17,1.59,76.03,127.6,259.79,64273.1,123.59078331682419
2.78,2.29,1.54,75.59,127.93,252.21,71829.7,131.81155067724546
2.84,2.27,1.7,75.31,127.85,292.32,68993.4,146.6116103486671
2.53,2.29,1.27,75.61,127.73,286.68,69445.4,126.63064179019024
2.88,1.78,1.78,76.26,128.38,259.91,65429.3,126.68110008501596
2.79,1.84,1.57,76.5,128.26,262.63,64403.6,122.02495806442052
2.71,2.27,1.52,75.8,127.71,259.25,71578.8,129.93372221625054
2.67,2.12,1.49,76.55,128.47,284.38,69369.0,130.56709219852553
2.87,1.89,1.45,75.51,128.19,293.62,68353.7,135.84594900907905
2.71,2.07,1.67,76.0,128.15,272.24,71569.0,130.85130009024192
2.75,2.21,1.26,75.79,128.52,255.72,69239.9,125.25904057856532
2.67,1.8,1.28,75.47,127.66,246.78,70630.4,110.13250830682388
2.9,1.79,1.79,75.24,127.69,290.72,68934.3,138.24887776639275
2.83,1.9,1.39,75.31,127.86,248.11,66562.0,119.64558411536906
2.51,2.27,1.38,76.12,127.62,257.26,70526.4,118.24763705012221
2.73,2.08,1.45,75.33,127.83,240.8,71263.6,119.91015050756609
2.56,2.28,1.44,76.24,127.74,265.78,63292.4,121.26301441179773
2.87,2.22,1.68,75.9,128.03,279.34,74277.2,144.8143316986267
2.83,1.78,1.37,75.91,127.39,285.45,69938.0,128.85924636026198
2.75,1.99,1.37,76.34,128.53,279.73,69727.6,128.40604760636404
2.81,2.17,1.26,76.08,127.77,292.37,73968.1,139.46690290143044
2.58,1.75,1.71,75.33,127.91,271.66,68557.8,116.67172155536981
2.87,2.16,1.7,75.36,127.69,253.89,66990.0,133.25731526452512
2.82,2.24,1.39,76.31,128.37,292.45,66887.0,140.28026232222328
2.55,2.29,1.53,75.35,128.41,285.21,75684.6,132.61993805865302
2.8,2.04,1.7,75.41,128.39,273.94,65230.6,132.5192767470122
2.54,1.84,1.36,76.14,128.19,287.93,71281.6,118.488795216555
2.72,2.11,1.62,76.27,128.0,266.89,68420.0,128.83167431775541
2.61,2.14,1.58,75.6,127.99,251.27,65357.2,118.44323618215573
2.65,2.03,1.66,75.56,128.0,259.03,76087.0,124.93182501093567
2.78,2.16,1.7,75.86,128.42,252.43,65903.3,128.43935306037702
2.52,1.91,1.38,76.3,127.76,276.11,75427.4,117.59353126474277
2.89,2.26,1.21,76.16,128.56,290.74,67417.7,141.3040097084628
2.68,2.25,1.64,76.43,127.75,285.18,76380.7,138.75889959339588
2.52,2.04,1.23,76.06,128.53,254.56,70863.4,110.99941200247066
2.6,1.7,1.4,75.86,128.33,243.83,68267.3,104.38472513238516
2.77,1.97,1.78,75.62,127.67,246.35,65984.5,122.66002586325659
2.86,2.0,1.32,75.85,128.36,240.99,75200.2,123.78942470292078
2.68,1.99,1.75,75.69,128.41,266.22,73248.5,127.50645015704778
2.7,1.74,1.25,75.85,127.36,245.92,70340.4,109.37358515430277
2.62,2.09,1.74,75.32,127.75,275.5,63718.4,126.12762512879682
2.72,1.74,1.37,76.4,127.75,276.84,72616.3,121.44189284462745
2.87,1.8,1.79,75.57,127.41,251.2,74030.8,127.6058498786714
2.55,1.79,1.25,75.86,128.14,285.33,63731.7,112.90526437369284
2.72,2.11,1.61,75.38,127.78,245.75,70565.5,123.28060639325237
2.53,2.16,1.5,75.28,128.08,274.86,73696.3,124.53865792468106
2.65,1.88,1.72,75.33,127.75,266.67,75227.5,123.9853988977526
2.88,2.15,1.48,75.4,127.86,268.16,71820.5,136.97522367128477
2.54,2.2,1.6,75.99,127.76,247.42,63892.0,115.26660215341225
2.73,2.06,1.67,76.38,127.66,282.71,69491.0,133.7216924571785
2.81,1.86,1.46,75.99,127.98,284.7,68630.3,130.18349762421064
2.51,2.22,1.79,76.48,128.44,261.85,73557.6,124.40105724576405
2.77,1.81,1.5,75.76,128.2,279.15,74133.8,128.20344369466955
2.59,1.98,1.6,75.7,128.39,254.08,70499.5,116.8430257038499
2.56,2.12,1.37,76.0,128.59,293.27,72071.0,127.9727353987496
2.82,2.13,1.57,75.38,128.34,292.46,63970.9,138.8417796623612
2.76,2.2,1.51,76.33,128.15,240.93,74483.7,126.04018718346289
2.85,2.06,1.79,76.0,128.3,280.08,67012.7,138.78446394227706
2.85,2.05,1.38,75.38,127.77,285.56,64358.6,134.20044345598228
2.57,1.79,1.28,75.9,127.35,276.12,65505.1,112.29983942465687
2.8,1.96,1.23,75.59,127.5,240.57,71861.8,117.73635412841828
2.88,2.28,1.78,76.26,127.69,269.59,68558.3,142.7564399221335
2.87,2.2,1.58,75.97,127.36,264.96,72029.1,138.0666073357305
2.55,1.96,1.45,75.4,128.27,279.18,64038.9,117.7271785978926
2.53,2.24,1.21,75.69,127.54,286.15,69285.4,124.54833918739531
2.7,2.02,1.41,76.36,128.22,288.19,76419.0,132.40884524262833
2.51,2.13,1.78,75.81,127.63,241.09,73241.4,115.93255617156673
2.86,2.24,1.32,75.37,128.04,247.76,72078.7,130.34018606177403
