mean_force,max_force,outer_wall_thickness,inside_wall_side_thickness,inside_wall_middle_thickness,height,width,sigma0,youngs
23.835890327382764,28.5429609375,2.5,2.15,1.63,75.95,127.83,263.44,66771.2
25.32461473447199,30.55990625,2.83,2.02,1.44,75.76,127.25,246.66,69501.7
25.165035500072154,29.3257109375,2.85,1.78,1.44,76.51,127.53,243.62,65759.5
24.157056106101173,28.5479824219,2.71,1.72,1.51,75.41,127.61,258.13,65259.4
24.802530871596137,28.8995859375,2.67,1.74,1.65,76.22,128.53,261.38,65053.8
24.505515659265306,28.9649941406,2.52,1.87,1.64,76.31,128.6,282.22,66504.8
25.810067860832408,30.4645976562,2.71,1.76,1.55,75.32,128.48,275.16,68032.5
22.7094310846884,26.0027578125,2.63,1.76,1.26,75.34,127.76,246.11,69550.2
24.830908656995824,29.7365722656,2.61,1.82,1.33,76.19,128.15,288.96,74043.8
24.126926136450713,28.7515097656,2.73,1.75,1.26,75.59,128.02,262.31,70834.7
24.556960220024596,30.3337851562,2.62,2.13,1.31,76.37,127.92,281.3,67722.3
23.779099938480698,27.3934277344,2.67,1.78,1.3,75.37,128.53,251.72,72917.3
23.9914141205196,28.5667636719,2.77,1.95,1.21,76.4,127.8,244.03,72875.4
24.700096252440353,29.1669375,2.71,1.77,1.62,75.83,127.33,259.41,63090.2
22.295326911231204,26.5226679687,2.56,2.02,1.22,76.27,127.22,255.75,67619.7
26.25364688681487,32.3226796875,2.84,1.74,1.27,76.16,128.58,284.53,68412.7
23.668431757455657,28.3786894531,2.62,2.06,1.4,75.95,127.85,255.05,67787.8
26.248308163207785,33.331546875,2.85,2.2,1.4,75.94,127.96,260.64,76023.9
24.9283440962475,30.7004589844,2.83,2.09,1.29,75.71,127.88,248.44,72791.8
24.93755619953359,30.1206367187,2.65,1.77,1.49,75.65,128.34,281.7,69055.5
21.860776462130328,27.3522089844,2.54,2.06,1.25,75.63,127.53,255.7,71696.2
26.29821214151608,31.5353710938,2.87,1.75,1.54,75.93,127.69,259.15,68813.7
24.289642148090707,29.11175,2.77,1.95,1.36,75.87,127.62,250.25,63464.6
24.51046048194378,29.4139980469,2.6,2.05,1.62,76.0,127.57,264.72,64002.5
25.93790871698099,30.6673476563,2.7,1.78,1.48,75.24,128.05,277.11,73018.5
25.546118310355457,30.7136328125,2.86,1.89,1.45,75.69,127.47,248.06,70020.2
24.87027097430465,29.1532265625,2.76,1.81,1.36,76.28,127.41,260.54,65571.6
24.724241984981543,30.2354589844,2.66,1.98,1.34,75.73,127.61,280.34,69377.5
24.587203519581347,29.1908964844,2.66,2.0,1.56,76.49,127.29,250.78,70755.5
25.615472018816305,30.4775449219,2.72,1.77,1.32,75.2,128.49,289.14,63803.4
25.91783867454632,30.4438242187,2.79,1.88,1.79,76.45,127.79,241.71,68880.7
24.315014388308338,28.40915625,2.55,1.74,1.74,75.62,128.38,271.42,67897.4
23.761671259519733,28.5450332031,2.51,2.02,1.43,76.26,128.13,284.75,63926.9
25.744513550459583,30.4604414062,2.74,1.79,1.36,75.46,128.54,277.22,68579.9
27.176891435438957,33.4596171875,2.88,2.01,1.64,76.47,127.27,260.62,67737.7
24.5753740443879,29.3942675781,2.56,1.92,1.58,76.5,128.27,280.57,64934.5
22.971196493104845,27.413359375,2.62,1.87,1.23,75.6,127.22,267.66,65359.4
25.72765535296091,30.9477792969,2.76,1.71,1.69,75.95,127.66,270.33,64601.1
25.884920159176268,32.6967695312,2.85,1.87,1.25,76.06,127.73,288.53,63515.2
26.769489941481247,33.0088515625,2.87,1.94,1.46,76.34,127.76,273.37,65548.9
