mean_force,max_force,outer_wall_thickness,inside_wall_side_thickness,inside_wall_middle_thickness,height,width,sigma0,youngs
116.18309943087951,187.57834375,2.5,2.15,1.63,75.95,127.83,263.44,66771.2
125.19870460490938,202.56046875,2.83,2.02,1.44,75.76,127.25,246.66,69501.7
117.23565215280286,205.683984375,2.85,1.78,1.44,76.51,127.53,243.62,65759.5
113.85412797119903,190.6650625,2.71,1.72,1.51,75.41,127.61,258.13,65259.4
115.09336343535985,191.02321875,2.67,1.74,1.65,76.22,128.53,261.38,65053.8
120.15313684378374,197.57790625,2.52,1.87,1.64,76.31,128.6,282.22,66504.8
120.9245192977458,206.24959375,2.71,1.76,1.55,75.32,128.48,275.16,68032.5
106.20048304142368,185.19928125,2.63,1.76,1.26,75.34,127.76,246.11,69550.2
120.38204863665327,213.130734375,2.61,1.82,1.33,76.19,128.15,288.96,74043.8
115.8688369436348,204.058828125,2.73,1.75,1.26,75.59,128.02,262.31,70834.7
128.5851673050815,209.52228125,2.62,2.13,1.31,76.37,127.92,281.3,67722.3
112.14784037717247,191.7696875,2.67,1.78,1.3,75.37,128.53,251.72,72917.3
117.617819622881,200.824765625,2.77,1.95,1.21,76.4,127.8,244.03,72875.4
117.087640353615,197.679484375,2.71,1.77,1.62,75.83,127.33,259.41,63090.2
111.39277128408162,188.764953125,2.56,2.02,1.22,76.27,127.22,255.75,67619.7
126.84827886828133,228.20578125,2.84,1.74,1.27,76.16,128.58,284.53,68412.7
117.07582512268137,192.018984375,2.62,2.06,1.4,75.95,127.85,255.05,67787.8
135.586131800134,218.3824375,2.85,2.2,1.4,75.94,127.96,260.64,76023.9
125.33071905977681,208.94425,2.83,2.09,1.29,75.71,127.88,248.44,72791.8
120.13805691460168,204.711765625,2.65,1.77,1.49,75.65,128.34,281.7,69055.5
114.97108731931439,190.302859375,2.54,2.06,1.25,75.63,127.53,255.7,71696.2
122.2042663296693,212.134484375,2.87,1.75,1.54,75.93,127.69,259.15,68813.7
117.49206681254982,196.876734375,2.77,1.95,1.36,75.87,127.62,250.25,63464.6
119.81942808670749,190.054921875,2.6,2.05,1.62,76.0,127.57,264.72,64002.5
123.33841540282113,211.387578125,2.7,1.78,1.48,75.24,128.05,277.11,73018.5
123.88532008730144,207.601125,2.86,1.89,1.45,75.69,127.47,248.06,70020.2
118.58850330380882,205.90746875,2.76,1.81,1.36,76.28,127.41,260.54,65571.6
123.09209318283499,206.960015625,2.66,1.98,1.34,75.73,127.61,280.34,69377.5
118.98036405751176,196.167390625,2.66,2.0,1.56,76.49,127.29,250.78,70755.5
121.65355708947112,215.71428125,2.72,1.77,1.32,75.2,128.49,289.14,63803.4
121.78554482535974,196.843546875,2.79,1.88,1.79,76.45,127.79,241.71,68880.7
116.86611655445313,187.033125,2.55,1.74,1.74,75.62,128.38,271.42,67897.4
121.44723895530187,200.832046875,2.51,2.02,1.43,76.26,128.13,284.75,63926.9
121.04362114668062,208.351578125,2.74,1.79,1.36,75.46,128.54,277.22,68579.9
132.86027012694188,218.411734375,2.88,2.01,1.64,76.47,127.27,260.62,67737.7
119.14689444875,202.42334375,2.56,1.92,1.58,76.5,128.27,280.57,64934.5
113.31631853217107,198.639796875,2.62,1.87,1.23,75.6,127.22,267.66,65359.4
120.91256177613742,204.5388125,2.76,1.71,1.69,75.95,127.66,270.33,64601.1
128.76879603076435,228.305125,2.85,1.87,1.25,76.06,127.73,288.53,63515.2
129.60042349344545,219.61203125,2.87,1.94,1.46,76.34,127.76,273.37,65548.9
126.75154812034332,217.58578125,2.79,1.9,1.29,75.37,128.14,287.1,65137.7
123.57917311620609,200.034578125,2.56,1.81,1.79,76.47,127.58,289.88,69109.8
120.3575304991567,195.924328125,2.64,1.8,1.59,75.22,127.45,272.68,71526.2
126.15858403210655,199.7025,2.69,2.2,1.67,75.53,127.49,257.62,66009.4
135.68493130022026,234.094703125,2.85,1.79,1.58,76.06,127.27,293.53,68357.4
117.00765521064903,201.151375,2.79,1.73,1.55,75.97,127.21,253.69,64739.9
127.46894243314334,204.627578125,2.8,2.12,1.7,76.39,128.2,247.8,69569.5
127.3640236595753,217.055921875,2.87,1.95,1.36,75.76,127.98,269.22,64798.6
127.0621553912242,208.32903125,2.76,2.05,1.35,75.76,127.43,275.05,63656.9
125.68899785074309,215.773359375,2.84,1.75,1.61,76.55,127.57,257.42,76391.3
115.45359321138692,185.4199375,2.51,2.17,1.26,75.52,128.51,256.29,66617.2
132.4065966563417,222.050859375,2.77,2.13,1.48,76.43,128.31,277.11,67850.9
120.98552556965582,191.417265625,2.64,2.11,1.75,75.29,127.39,246.16,75114.0
127.66430737745287,199.27746875,2.59,2.04,1.69,76.05,127.95,285.17,68279.0
122.64392112104537,197.211125,2.65,2.3,1.4,76.07,127.28,249.65,73328.8
126.6033007527102,206.269625,2.5,2.13,1.71,76.29,128.45,291.8,70679.8
117.52471197789642,189.99453125,2.53,2.22,1.41,76.5,128.44,254.24,76700.5
131.96498763729514,221.140015625,2.78,2.18,1.27,75.52,127.6,270.02,73491.3
121.12735351874255,191.02821875,2.68,1.95,1.76,76.37,128.41,245.01,73725.7
133.3605151133761,232.296984375,2.83,1.91,1.29,75.61,127.6,292.42,66198.7
138.12912867740977,226.816578125,2.89,2.01,1.79,76.47,127.67,265.41,74961.4
118.28900407957819,195.562484375,2.64,1.73,1.64,75.25,128.51,258.18,76672.9
126.59668530245874,202.334546875,2.7,2.0,1.64,76.31,128.12,263.52,71607.4
122.61091182761015,209.5508125,2.8,1.73,1.56,76.05,128.33,272.36,66513.9
126.75243718607055,212.797484375,2.85,1.93,1.63,76.09,127.85,257.36,73060.5
131.90767398275776,213.73846875,2.8,1.96,1.63,76.15,127.3,272.28,70581.3
136.1634537668792,220.24984375,2.88,2.14,1.58,75.21,128.56,261.1,72685.3
142.85822963696222,223.26475,2.76,2.29,1.68,75.98,128.49,286.75,68024.1
120.90454411136753,193.680796875,2.65,2.15,1.55,75.33,128.05,256.51,64735.1
115.14565175427913,189.75209375,2.51,1.87,1.4,75.86,128.45,268.13,65876.5
119.00508842456044,189.709875,2.56,2.17,1.66,76.29,127.84,255.22,75175.7
126.64376397232462,202.69453125,2.57,2.26,1.55,76.24,128.19,275.38,70921.6
121.90506266137584,200.3045,2.76,1.75,1.63,76.05,128.2,255.6,74199.4
129.7958440156673,216.26596875,2.8,1.94,1.54,75.43,127.61,282.58,64322.0
114.74994819911115,204.441078125,2.88,1.74,1.31,76.48,127.54,242.19,65476.8
138.21870117499503,217.13990625,2.79,2.25,1.7,75.58,127.42,268.99,68319.9
117.61976337765593,198.459921875,2.64,1.73,1.56,75.9,128.41,263.81,73265.2
128.75867724349763,207.82159375,2.65,2.11,1.29,75.26,127.84,289.11,70753.4
138.51103483504505,223.109953125,2.86,2.15,1.71,75.73,128.01,270.23,69368.6
123.02591912796191,200.895828125,2.51,2.17,1.51,76.28,128.24,283.76,66228.4
114.80832389548077,191.315671875,2.76,1.81,1.45,75.39,128.01,244.51,67246.2
