sample,outer_wall_tickness,inside_wall_side_tickness,inside_wall_middle_tickness,height,width,sigma0,youngs
  1,2.50,2.15,1.63,75.95,127.83,263.44,66771.2
  2,2.83,2.02,1.44,75.76,127.25,246.66,69501.7
  3,2.85,1.78,1.44,76.51,127.53,243.62,65759.5
  4,2.71,1.72,1.51,75.41,127.61,258.13,65259.4
  5,2.67,1.74,1.65,76.22,128.53,261.38,65053.8
  6,2.52,1.87,1.64,76.31,128.60,282.22,66504.8
  7,2.71,1.76,1.55,75.32,128.48,275.16,68032.5
  8,2.63,1.76,1.26,75.34,127.76,246.11,69550.2
  9,2.61,1.82,1.33,76.19,128.15,288.96,74043.8
 10,2.73,1.75,1.26,75.59,128.02,262.31,70834.7
 11,2.62,2.13,1.31,76.37,127.92,281.30,67722.3
 12,2.67,1.78,1.30,75.37,128.53,251.72,72917.3
 13,2.77,1.95,1.21,76.40,127.80,244.03,72875.4
 14,2.71,1.77,1.62,75.83,127.33,259.41,63090.2
 15,2.56,2.02,1.22,76.27,127.22,255.75,67619.7
 16,2.84,1.74,1.27,76.16,128.58,284.53,68412.7
 17,2.62,2.06,1.40,75.95,127.85,255.05,67787.8
 18,2.85,2.20,1.40,75.94,127.96,260.64,76023.9
 19,2.83,2.09,1.29,75.71,127.88,248.44,72791.8
 20,2.65,1.77,1.49,75.65,128.34,281.70,69055.5
 21,2.54,2.06,1.25,75.63,127.53,255.70,71696.2
 22,2.87,1.75,1.54,75.93,127.69,259.15,68813.7
 23,2.77,1.95,1.36,75.87,127.62,250.25,63464.6
 24,2.60,2.05,1.62,76.00,127.57,264.72,64002.5
 25,2.70,1.78,1.48,75.24,128.05,277.11,73018.5
 26,2.86,1.89,1.45,75.69,127.47,248.06,70020.2
 27,2.76,1.81,1.36,76.28,127.41,260.54,65571.6
 28,2.66,1.98,1.34,75.73,127.61,280.34,69377.5
 29,2.66,2.00,1.56,76.49,127.29,250.78,70755.5
 30,2.72,1.77,1.32,75.20,128.49,289.14,63803.4
 31,2.79,1.88,1.79,76.45,127.79,241.71,68880.7
 32,2.55,1.74,1.74,75.62,128.38,271.42,67897.4
 33,2.51,2.02,1.43,76.26,128.13,284.75,63926.9
 34,2.74,1.79,1.36,75.46,128.54,277.22,68579.9
 35,2.88,2.01,1.64,76.47,127.27,260.62,67737.7
 36,2.56,1.92,1.58,76.50,128.27,280.57,64934.5
 37,2.62,1.87,1.23,75.60,127.22,267.66,65359.4
 38,2.76,1.71,1.69,75.95,127.66,270.33,64601.1
 39,2.85,1.87,1.25,76.06,127.73,288.53,63515.2
 40,2.87,1.94,1.46,76.34,127.76,273.37,65548.9
 41,2.79,1.90,1.29,75.37,128.14,287.10,65137.7
 42,2.56,1.81,1.79,76.47,127.58,289.88,69109.8
 43,2.64,1.80,1.59,75.22,127.45,272.68,71526.2
 44,2.69,2.20,1.67,75.53,127.49,257.62,66009.4
 45,2.85,1.79,1.58,76.06,127.27,293.53,68357.4
 46,2.79,1.73,1.55,75.97,127.21,253.69,64739.9
 47,2.80,2.12,1.70,76.39,128.20,247.80,69569.5
 48,2.87,1.95,1.36,75.76,127.98,269.22,64798.6
 49,2.76,2.05,1.35,75.76,127.43,275.05,63656.9
 50,2.84,1.75,1.61,76.55,127.57,257.42,76391.3
