sample,outer_wall_thickness,inside_wall_side_thickness,inside_wall_middle_thickness,height,width,sigma0,youngs
  1,2.67,2.05,1.23,76.35,127.83,284.50,66823.0
  2,2.77,2.04,1.55,76.36,128.46,264.61,66069.3
  3,2.65,1.93,1.27,76.50,127.81,273.76,66742.0
  4,2.66,1.82,1.51,75.23,128.19,257.80,71321.8
  5,2.71,1.82,1.29,75.80,128.07,278.94,71487.6
  6,2.87,2.11,1.39,76.30,127.79,255.77,75782.1
  7,2.73,1.88,1.66,76.46,127.56,291.06,68169.6
  8,2.69,2.08,1.77,75.73,127.92,266.76,75809.2
  9,2.68,2.03,1.76,76.51,128.24,268.92,67835.9
 10,2.63,2.12,1.78,75.98,128.35,285.83,68150.5
 11,2.79,1.73,1.64,75.77,127.50,288.10,69826.1
 12,2.74,2.28,1.49,75.62,128.05,291.45,70556.8
 13,2.76,1.97,1.51,76.38,128.29,260.83,64922.2
 14,2.60,1.94,1.44,75.56,128.52,284.15,72103.2
 15,2.84,1.75,1.23,76.35,127.43,275.86,63658.2
 16,2.58,1.79,1.45,75.61,127.86,253.73,66056.1
 17,2.62,2.08,1.21,76.56,127.56,263.20,76283.0
 18,2.71,1.70,1.40,75.22,127.76,262.05,69336.0
 19,2.73,2.02,1.32,76.07,128.17,255.25,70294.7
 20,2.59,1.83,1.79,75.74,127.76,283.81,66662.0
 21,2.87,2.12,1.38,75.97,127.56,288.61,66623.2
 22,2.68,1.79,1.59,75.78,128.13,255.87,73928.3
 23,2.61,2.23,1.69,75.57,128.46,254.55,65327.8
 24,2.56,2.06,1.40,75.60,127.26,281.07,66921.0
 25,2.71,2.22,1.46,76.25,127.66,258.54,64495.2
 26,2.64,2.11,1.59,76.54,128.36,260.49,73123.9
 27,2.50,1.79,1.79,76.16,128.42,247.57,75914.5
 28,2.73,2.19,1.60,75.20,128.10,254.67,64746.7
 29,2.71,2.30,1.51,76.29,127.24,280.77,73816.5
 30,2.74,2.07,1.68,76.32,127.64,249.57,72962.3
 31,2.68,2.04,1.37,76.33,128.47,292.89,65980.4
 32,2.54,2.22,1.65,75.67,128.26,280.79,71871.5
 33,2.51,2.25,1.74,75.51,127.34,273.15,72173.6
 34,2.62,1.90,1.51,75.78,128.54,246.69,74355.8
 35,2.58,2.25,1.77,75.99,127.85,287.52,65797.9
 36,2.78,1.72,1.28,75.27,127.53,260.64,71628.5
 37,2.69,2.20,1.24,76.29,127.25,267.08,63570.9
 38,2.56,1.78,1.47,75.62,128.57,286.41,71027.5
 39,2.61,1.85,1.49,75.34,127.96,253.55,68976.9
 40,2.63,1.77,1.37,76.58,127.32,271.43,64135.8
 41,2.70,1.84,1.51,75.46,127.70,272.74,65763.6
 42,2.64,2.01,1.43,76.04,128.54,241.96,68286.5
 43,2.84,1.71,1.71,75.32,128.21,279.46,68058.1
 44,2.70,1.85,1.27,76.30,128.19,251.43,76298.1
 45,2.72,1.75,1.29,75.55,127.26,251.72,63293.7
 46,2.66,2.11,1.61,75.38,127.87,281.93,64112.1
 47,2.58,2.15,1.21,76.22,127.97,292.44,66217.8
 48,2.82,2.03,1.56,75.93,127.25,291.21,69189.9
 49,2.88,1.90,1.67,76.50,127.33,260.46,73139.4
 50,2.68,1.86,1.48,76.03,127.67,277.27,65290.4
