sample,outer_wall_thickness,inside_wall_side_thickness,inside_wall_middle_thickness,height,width,sigma0,youngs
1,2.7,2.0,1.5,75.9,127.9,267.1,70000
2,2.0,2.0,1.5,75.9,127.9,267.1,70000
3,3.4,2.0,1.5,75.9,127.9,267.1,70000
4,2.7,1.0,1.5,75.9,127.9,267.1,70000
5,2.7,3.0,1.5,75.9,127.9,267.1,70000
6,2.7,2.0,0.9,75.9,127.9,267.1,70000
7,2.7,2.0,2.1,75.9,127.9,267.1,70000
8,2.7,2.0,1.5,60.0,127.9,267.1,70000
9,2.7,2.0,1.5,90.0,127.9,267.1,70000
10,2.7,2.0,1.5,75.9,100,267.1,70000
11,2.7,2.0,1.5,75.9,160,267.1,70000
12,2.7,2.0,1.5,75.9,127.9,190,70000
13,2.7,2.0,1.5,75.9,127.9,350,70000
14,2.7,2.0,1.5,75.9,127.9,267.1,85000
15,2.7,2.0,1.5,75.9,127.9,267.1,55000
